company,website,founded_year,city,state,stage,ai_type,sector,sub_sector,total_funding_usd,latest_round,latest_round_amt_usd,latest_round_year,founders,lead_investors,employees_range,is_unicorn,valuation_usd,govt_backed,iit_founded,yc_backed,description
Vidooly,vidooly.com,2014,Delhi NCR,Delhi,Early Stage,AI Application,Media Tech,Video Analytics AI,5500000,Series A,4000000,2019,"Subrat Kar, Nishant Radia",Inventus Capital / IDG Ventures,50-100,FALSE,30000000,FALSE,FALSE,FALSE,AI-powered video analytics and content intelligence platform
Cube Wealth,cubewealth.in,2017,Mumbai,Maharashtra,Growth Stage,AI Application,Fintech AI,Robo-advisory,15000000,Series B,10000000,2022,"Satyen Kothari",Better Capital / Sequoia Surge / Edelweiss,50-100,FALSE,75000000,FALSE,FALSE,FALSE,AI-powered wealth management and investment advisory platform for retail investors
Amber,amberbox.ai,2017,Delhi NCR,Delhi,Growth Stage,AI Application,HR Tech,Employee Engagement AI,12000000,Series B,8000000,2022,"Jagriti Bhargava, Abhishek Upadhyay",Sequoia / Talent500,50-100,FALSE,60000000,FALSE,FALSE,FALSE,AI-powered employee engagement and retention intelligence platform
BotPenguin,botpenguin.com,2017,Delhi NCR,Delhi,Early Stage,AI Application,Enterprise AI,Chatbot Builder,2000000,Seed,2000000,2022,"Rahul Gupta",Bootstrapped,10-50,FALSE,10000000,FALSE,FALSE,FALSE,AI-powered chatbot builder for marketing automation and customer support
WizCommerce,wizcommerce.com,2021,Delhi NCR,Delhi,Early Stage,AI Application,Retail AI,B2B Commerce AI,3500000,Seed,3500000,2023,"Aayush Jain, Tushar Bhatt",Y Combinator / Nexus,10-50,FALSE,18000000,FALSE,FALSE,TRUE,AI-powered B2B wholesale commerce platform for manufacturers and distributors
Recur Club,recurclub.com,2021,Bengaluru,Karnataka,Growth Stage,AI Application,Fintech AI,Revenue Based Finance,30000000,Series B,20000000,2023,"Eklavya Gupta, Piyush Bhotica",Tiger Global / Z47,50-100,FALSE,150000000,FALSE,FALSE,FALSE,AI-powered revenue-based financing platform for SaaS and subscription businesses
Astrosure AI,astrosure.ai,2024,Chennai,Tamil Nadu,Early Stage,AI Application,Consumer AI,Astrology AI,6000000,Seed,6000000,2025,"Deepak Kumar",Elevation Capital,10-50,FALSE,30000000,FALSE,FALSE,FALSE,AI-powered astrology and spiritual wellness platform for consumer market
Livelytics,livelytics.ai,2021,Bengaluru,Karnataka,Early Stage,AI Application,Retail AI,Restaurant Analytics AI,2500000,Seed,2500000,2023,"Shubham Gupta",Antler / Arali Ventures,10-50,FALSE,12000000,FALSE,FALSE,FALSE,AI-powered analytics platform for restaurant and food service industry
Talkdesk (India team),talkdesk.com,2011,Bengaluru,Karnataka,Late Stage,AI Application,Enterprise AI,Contact Center AI,498000000,Series D,230000000,2022,"Tiago Paiva",DFJ Growth / Salesforce Ventures / Amelia Capital,1000+,TRUE,10000000000,FALSE,FALSE,FALSE,Cloud contact center platform with AI-powered customer experience automation
Slintel,slintel.com,2018,Bengaluru,Karnataka,Acquired,AI Application,Enterprise AI,Sales Intelligence,20000000,Acquired,0,2021,"Deepak Anchala",Accel,50-100,FALSE,0,FALSE,FALSE,FALSE,AI sales intelligence platform - acquired by 6sense in 2021
Ozahub,ozahub.com,2020,Hyderabad,Telangana,Early Stage,AI Application,HealthTech,Pharma AI,3000000,Seed,3000000,2022,"Pravin Lagad",Venture Catalysts,10-50,FALSE,15000000,FALSE,FALSE,FALSE,AI-powered digital marketplace for pharmaceutical distribution and procurement
Scaler,scaler.com,2019,Bengaluru,Karnataka,Growth Stage,AI Application,EdTech,AI-powered Upskilling,55000000,Series B,55000000,2021,"Abhimanyu Saxena, Anshuman Singh",Sequoia / Tiger Global,200-500,FALSE,300000000,FALSE,TRUE,FALSE,AI-powered tech education and upskilling platform with personalized learning paths
Skillovilla,skillovilla.com,2020,Delhi NCR,Delhi,Early Stage,AI Application,EdTech,AI Career Platform,5000000,Series A,5000000,2022,"Rohit Jangid, Gaurav Bhagat",DoubleDown / Better Capital,50-100,FALSE,25000000,FALSE,FALSE,FALSE,AI-powered career coaching and upskilling platform for tech job seekers
Hiver,hiverhq.com,2011,Bengaluru,Karnataka,Growth Stage,AI Application,Productivity,Email AI / Helpdesk,40000000,Series C,20000000,2022,"Niraj Ranjan Rout, Nitesh Nandy",Kalaari Capital / Strive,100-200,FALSE,200000000,FALSE,FALSE,FALSE,AI-powered email collaboration and customer support helpdesk platform
Smallcase,smallcase.com,2015,Bengaluru,Karnataka,Growth Stage,AI Application,Fintech AI,Investment AI,40000000,Series C,40000000,2022,"Vasanth Kamath, Anugrah Shrivastava",Sequoia / Faering Capital / Blume,100-200,FALSE,200000000,FALSE,TRUE,FALSE,AI-powered stock portfolio investment platform for thematic investing
Recaptcha AI,recaptcha.ai,2022,Bengaluru,Karnataka,Early Stage,AI Application,Security,Fraud Detection AI,4000000,Seed,4000000,2024,"Rahul Sharma",Accel,10-50,FALSE,20000000,FALSE,FALSE,FALSE,AI-powered fraud detection and identity verification platform
Locus,locus.sh,2015,Bengaluru,Karnataka,Growth Stage,AI Application,Logistics,Dispatch Intelligence AI,80000000,Series C,50000000,2021,"Nishith Rastogi, Geetansh Bamania",Tiger Global / Falcon Edge / Qualcomm,200-500,FALSE,400000000,FALSE,TRUE,FALSE,AI-powered dispatch optimization and logistics intelligence platform
Turing,turing.com,2018,Bengaluru,Karnataka,Late Stage,AI Application,HR Tech,Developer Matching AI,140000000,Series D,87000000,2021,"Vijay Krishnamurthy, Jonathan Siddharth",WestBridge / Foundation Capital,200-500,TRUE,1000000000,FALSE,FALSE,FALSE,AI platform connecting global companies with elite remote software developers
Netcore Cloud,netcorecloud.com,1997,Mumbai,Maharashtra,Growth Stage,AI Application,MarTech,Marketing AI / CDP,100000000,Series A,100000000,2021,"Rajesh Jain",Peakxv,500-1000,FALSE,500000000,FALSE,FALSE,FALSE,AI-powered customer engagement and marketing automation platform
Turtlemint,turtlemint.com,2015,Mumbai,Maharashtra,Growth Stage,AI Application,Fintech AI,Insurtech AI,180000000,Series F,120000000,2022,"Dhirendra Mahyavanshi, Anand Prabhudesai",Jungle Ventures / Sequoia / SIG,200-500,FALSE,900000000,FALSE,FALSE,FALSE,AI-powered insurance distribution and advisory platform connecting brokers and customers
Arya.ag,arya.ag,2015,Delhi NCR,Delhi,Growth Stage,AI Application,AgriTech,Agri Finance AI,100000000,Series D,60000000,2022,"Anand Chandra, Chattanathan Devarajan",Lightrock / Quona Capital,200-500,FALSE,500000000,FALSE,FALSE,FALSE,AI-powered grain storage and agri supply chain finance platform
Cohere (India office),cohere.com,2019,Bengaluru,Karnataka,Growth Stage,AI Infrastructure,Foundation Models,LLM API,270000000,Series C,270000000,2023,"Aidan Gomez (HQ Toronto)",Tiger Global / Salesforce Ventures,200-500,FALSE,2200000000,FALSE,FALSE,FALSE,Large language model API platform with major India R&D operations in Bengaluru
EarlySalary (Fibe),fibe.in,2015,Pune,Maharashtra,Growth Stage,AI Application,Fintech AI,Consumer Lending AI,100000000,Series E,90000000,2022,"Akshay Mehrotra, Ashish Goyal",Prosus / TPG New Quest,200-500,FALSE,500000000,FALSE,FALSE,FALSE,AI-powered instant personal loan and salary advance platform
Razorpay,razorpay.com,2014,Bengaluru,Karnataka,Late Stage,AI Application,Fintech AI,Payments AI,741000000,Series F,375000000,2021,"Harshil Mathur, Shashank Kumar",Sequoia / GIC / Tiger Global,1000+,TRUE,7500000000,FALSE,TRUE,FALSE,Full-stack AI-powered fintech platform for payment processing and business banking
Zepto,zeptonow.com,2021,Mumbai,Maharashtra,Late Stage,AI Application,Consumer AI,Quick Commerce AI,1400000000,Series G,340000000,2024,"Aadit Palicha, Kaivalya Vohra",Nexus / StepStone / Lightspeed,1000+,TRUE,5000000000,FALSE,FALSE,FALSE,AI-powered 10-minute grocery delivery platform using predictive inventory AI
